"Global ID","Data Model ID","Element Name"
"001612",74085,"Included in Counted Family Size"
"001080",75871,"Child Identifier"
"001571",75872,"Person Identification System"
"001572",75873,"Person Identifier"
"001075",75874,"Student Identification System"
"001071",75875,"Student Identifier"
"000010",72129,"Address Type for Learner or Family"
"000269",71969,"Address Street Number and Name"
"000019",71970,"Address Apartment Room or Suite Number"
"000040",71971,"Address City"
"000267",71972,"State Abbreviation"
"000214",71973,"Address Postal Code"
"000190",71974,"Address County Name"
"000050",71975,"Country Code"
"000606",74256,"Latitude"
"000607",74279,"Longitude"
"001209",75297,"County ANSI Code"
"001928",75298,"Do Not Publish Indicator"
"000279",71977,"Telephone Number"
"000280",71976,"Telephone Number Type"
"000219",72212,"Primary Telephone Number Indicator"
"001928",75300,"Do Not Publish Indicator"
"001927",75301,"Telephone Number Listed Status"
"000088",71979,"Electronic Mail Address"
"000089",71978,"Electronic Mail Address Type"
"001928",75299,"Do Not Publish Indicator"
"000033",73660,"Birthdate"
"000255",74470,"Sex"
"000730",74471,"Standard Occupational Classification"
"000051",75302,"Country of Birth Code"
"001640",75303,"Military Branch"
"001657",75304,"Tribal Affiliation"
"001943",75517,"Race"
"000141",71152,"Highest Level of Education Completed"
"000335",74001,"Insurance Coverage"
"000336",74002,"Dental Insurance Coverage Type"
"000317",75305,"ISO 639-2 Language Code"
"001637",75306,"ISO 639-3 Language Code"
"001638",75307,"ISO 639-5 Language Family"
"000316",75308,"Language Type"
"000777",75309,"Public Assistance Status"
"001577",76091,"Active Military Status Indicator"
"002050",76092,"Military Campaigns"
"002034",76093,"Military Country"
"002048",76094,"Military Current Rank"
"002055",76095,"Military Deployment Activity Code"
"002056",76096,"Military Deployment Activity Name"
"002052",76097,"Military Deployment Description"
"002043",76098,"Military Deployment End Date"
"002053",76099,"Military Deployment Order Description"
"002054",76100,"Military Deployment Requested By"
"002042",76101,"Military Deployment Start Date"
"002051",76102,"Military Deployment Status Code"
"002044",76103,"Military Discharge Category"
"002040",76104,"Military Discharge Date"
"002046",76105,"Military Discharge Rank"
"002037",76106,"Military Duties"
"002036",76107,"Military Expertise"
"002047",76108,"Military Highest Rank"
"002049",76109,"Military Honors"
"002039",76110,"Military Induction Date"
"002045",76111,"Military Induction Rank"
"002035",76112,"Military Occupational Specialties "
"002041",76113,"Military Release Date"
"002038",76114,"Military Service Locations"
"002114",76115,"Military Service Number"
"001578",76116,"Military Veteran Status Indicator"
"002057",76117,"National Guard Indicator"
"000787",72224,"Family Identifier"
"000330",70672,"Number of People in Family"
"000331",70673,"Number of People in Household"
"000332",70674,"Family Income"
"000333",70675,"Source of Family Income"
"000334",70676,"Income Calculation Method"
"000305",70671,"Proof of Residency Type"
"001612",74082,"Included in Counted Family Size"
"001980",75509,"Marital Status"
"000775",76541,"Low-income Status"
"000115",70682,"First Name"
"000184",70686,"Middle Name"
"000172",70685,"Last or Surname"
"000121",70683,"Generation Code or Suffix"
"000212",70689,"Personal Title or Prefix"
"000634",72246,"Other Name Type"
"001514",73629,"Other First Name"
"001515",73645,"Other Middle Name"
"001513",73613,"Other Last Name"
"000206",72245,"Other Name"
"001070",72247,"Staff Member Identifier"
"001074",72248,"Staff Member Identification System"
"001945",75863,"Personal Information Type"
"000618",75864,"Personal Information Verification"
"000722",72225,"Address Type for Staff"
"000269",70693,"Address Street Number and Name"
"000019",70677,"Address Apartment Room or Suite Number"
"000040",70679,"Address City"
"000267",70692,"State Abbreviation"
"000214",70690,"Address Postal Code"
"000190",70687,"Address County Name"
"000050",70680,"Country Code"
"000606",74258,"Latitude"
"000607",74281,"Longitude"
"001209",75280,"County ANSI Code"
"001928",75281,"Do Not Publish Indicator"
"000279",71726,"Telephone Number"
"000280",71724,"Telephone Number Type"
"000219",71725,"Primary Telephone Number Indicator"
"001928",75283,"Do Not Publish Indicator"
"001927",75284,"Telephone Number Listed Status"
"000088",71728,"Electronic Mail Address"
"000089",71727,"Electronic Mail Address Type"
